y_value	y_true_value	y_label
-11.783863	-12.049032	0
-12.882852	-12.453547	1
-12.590517	-12.453547	0
-11.595587	-12.004949	0
-13.223137	-12.089851	0
-11.595423	-12.842400	0
-11.612685	-12.313614	0
-11.826120	-12.313614	0
-12.996898	-12.933874	0
-12.142875	-12.933874	0
-11.363600	-12.081477	0
-11.965004	-12.306599	0
-11.477495	-11.749844	0
-11.556594	-12.196299	0
-11.472147	-11.476875	0
-11.302354	-11.395411	0
-12.295245	-12.427772	0
-12.347305	-12.414759	0
-12.250738	-12.037296	0
-11.787816	-11.741976	0
-11.570635	-10.807232	0
-11.166377	-12.018341	0
-12.294984	-10.863852	0
-11.490367	-11.370612	0
-11.841675	-12.813509	0
-12.380612	-12.764347	0
-11.941309	-12.539176	1
-11.927818	-12.390000	1
-12.280549	-12.390000	1
-11.511724	-12.390000	0
-11.693329	-12.011230	0
-11.305960	-12.011230	0
-11.521156	-12.222828	0
-11.647142	-12.138470	0
-11.410501	-12.138470	1
-11.038456	-11.234674	0
-12.486099	-11.234674	0
-12.092267	-12.499092	0
-11.483908	-12.591492	0
-12.957790	-12.506038	0
-11.640148	-12.506038	0
-11.493330	-11.985599	0
-12.226795	-12.657379	0
-11.477002	-11.748920	0
-11.712064	-11.379713	0
-12.078047	-11.701251	0
-11.726247	-11.744213	0
-11.759059	-11.739304	0
-11.487872	-11.564904	0
-11.508575	-11.420728	0
-11.987185	-11.456438	0
-11.977701	-12.164812	0
-11.810584	-11.732795	0
-12.327953	-11.947049	0
-11.585254	-11.768234	0
-11.971248	-11.575246	0
-11.215991	-11.590230	0
-11.610412	-11.281740	0
-11.198879	-11.765187	0
-11.361176	-11.614703	0
-11.280727	-11.282319	1
-11.879132	-11.782982	0
-12.174304	-11.884144	0
-11.566282	-11.605973	0
-11.479256	-12.321454	0
-11.787561	-11.791253	0
-11.362361	-11.355228	0
-11.374807	-11.650387	0
-11.633878	-11.786843	0
-12.799091	-12.393453	0
-11.503499	-11.757443	0
-11.657152	-11.901632	0
-11.840480	-12.201520	0
-12.145572	-11.668059	0
-12.071353	-12.476873	0
-12.331462	-11.974777	0
-12.626204	-12.704691	0
-11.209576	-10.085830	0
-12.149366	-12.027819	0
-11.724966	-11.782839	0
-12.861312	-12.200613	0
-12.385204	-11.757503	0
-12.199385	-11.838626	0
-11.440866	-11.737023	0
-11.214109	-11.416840	0
-11.999729	-12.059675	0
-11.525007	-11.607856	0
-12.080084	-11.960936	0
-12.073759	-11.960936	0
-11.413531	-11.416840	0
-11.608604	-11.855598	0
-11.774853	-12.089639	0
-11.921678	-12.183010	0
-12.147527	-11.737023	0
-11.876238	-11.960936	0
-12.882500	-12.256960	0
-12.237121	-11.388955	0
-12.056110	-11.388955	0
-12.364337	-12.256960	0
-12.552528	-12.182783	0
-11.014656	-12.350901	0
-12.164736	-11.544140	0
-11.741414	-11.053255	0
-11.540266	-11.286331	0
-11.063131	-11.286331	0
-11.674695	-11.474341	0
-12.051074	-12.033120	0
-12.065285	-12.029390	0
-12.585657	-12.483886	0
-13.101066	-11.987588	0
-11.638012	-11.990898	0
-12.771079	-12.180255	0
-12.353769	-11.880974	0
-11.569345	-11.880974	0
-10.300840	-12.444073	0
-11.646652	-12.068723	0
-12.187047	-12.210361	0
-12.880524	-12.720852	0
-11.730566	-12.255331	0
-11.151722	-12.515450	0
-11.581614	-12.255331	0
-12.061020	-12.212068	0
-11.271581	-10.925457	0
-11.681701	-12.118751	0
-11.441815	-12.048167	1
-11.593632	-11.930081	1
-11.509567	-11.746646	0
